,name,bandwidth,avg-time,time,max-time,array-size,ntimes,block-size,dtype,compiler,compiler-flags,axis,vector-size,explicit-vectorization,unroll-factor,launch-bounds,index-type,streaming-stores,streaming-loads,print-code,verify,sbench-version,benchmark-name
0,copy,8000.0,5e-06,4e-06,6e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
1,scale,8000.0,5e-06,4e-06,5e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
2,add,12000.0,5e-06,4e-06,5e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
3,triad,9600.0,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
4,copy,6400.0,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
5,scale,6400.0,5e-06,5e-06,6e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
6,add,9660.4,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
7,triad,9660.4,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
8,copy,8000.0,5e-06,4e-06,5e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
9,scale,8000.0,5e-06,4e-06,6e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
10,add,9600.0,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
11,triad,9600.0,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
12,copy,6400.0,5e-06,5e-06,5e-06,4096,10,64,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
13,scale,8000.0,5e-06,4e-06,5e-06,4096,10,64,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
14,add,12000.0,6e-06,4e-06,1.1e-05,4096,10,64,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
15,triad,9660.4,5e-06,5e-06,5e-06,4096,10,64,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
16,copy,8000.0,5e-06,4e-06,5e-06,4096,10,64,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
